Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
214743_at,0.9894026623014716,2.4896573203165187e-10,1.3851478785479642e-08,214743_at,CUX1,cut like homeobox 1
1558447_at,0.8618438678789619,2.5355388551991776e-10,1.409238036434989e-08,1558447_at,,
209110_s_at,1.493212852759615,2.5420454145066487e-10,1.4114170567483052e-08,209110_s_at,RGL2,ral guanine nucleotide dissociation stimulator like 2
225485_at,1.8924232498947935,2.5619180351159907e-10,1.4210053296605252e-08,225485_at,CEP41,centrosomal protein 41
204690_at,-1.3385140102873336,2.568555700615733e-10,1.4232406252173213e-08,204690_at,STX8,syntaxin 8
200697_at,1.1383124774117617,2.5735529617187345e-10,1.4245633579883045e-08,200697_at,HK1,hexokinase 1
226663_at,2.810756151985295,2.578075471480972e-10,1.4256208830593716e-08,226663_at,ANKRD10-IT1,ANKRD10 intronic transcript 1
234952_s_at,0.6705150761182157,2.583899977629004e-10,1.4273955149697714e-08,234952_s_at,PHRF1,PHD and ring finger domains 1
243054_at,0.7363021264191172,2.6051883478343225e-10,1.43770045335136e-08,243054_at,,
229765_at,1.892229864897625,2.6145734875693947e-10,1.4414222866469697e-08,229765_at,ZNF207,zinc finger protein 207
1560297_at,2.253869027968892,2.6644410601625006e-10,1.4674321758083666e-08,1560297_at,,
226754_at,0.9082031111295246,2.6671553243548636e-10,1.4674462746770577e-08,226754_at,ZNF251,zinc finger protein 251
242146_at,1.8313784191906128,2.685771493916861e-10,1.4762006280613129e-08,242146_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A'
244881_at,1.534458965582015,2.699865695344809e-10,1.4824544244086956e-08,244881_at,LMLN,leishmanolysin like peptidase
236028_at,0.7764345971957014,2.7398410997470464e-10,1.5028923355084828e-08,236028_at,IBSP,integrin binding sialoprotein
218460_at,1.112779557222284,2.7464181149370754e-10,1.504987492923199e-08,218460_at,DNAAF5,dynein axonemal assembly factor 5
